year	NominalGDP	RealGDP	GDPDeflator	Population	NomGDPPerCap	RealGDPPerCap

1790	189	4,351	4.34	3,929	48.07	1,107.32
1791	206	4,612	4.46	4,048	50.80	1,139.28
1792	225	4,952	4.54	4,172	53.86	1,186.84
1793	251	5,345	4.70	4,299	58.39	1,243.34
1794	315	6,052	5.21	4,429	71.18	1,366.45
1795	383	6,436	5.96	4,563	84.04	1,410.40
1796	417	6,640	6.27	4,701	88.63	1,412.53
1797	409	6,774	6.04	4,844	84.43	1,398.33
1798	413	7,064	5.84	4,990	82.68	1,415.67
1799	442	7,563	5.84	5,141	85.91	1,471.05
1800	480	7,994	6.01	5,297	90.64	1,509.06
1801	514	8,383	6.13	5,461	94.18	1,535.08
1802	451	8,647	5.21	5,632	80.04	1,535.28
1803	487	8,793	5.54	5,809	83.86	1,513.74
1804	533	9,135	5.83	5,991	88.88	1,524.74
1805	561	9,619	5.83	6,180	90.79	1,556.43
1806	617	10,074	6.13	6,379	96.78	1,579.17
1807	589	10,083	5.84	6,588	89.37	1,530.49
1808	646	10,105	6.39	6,797	95.02	1,486.74
1809	687	10,878	6.31	7,009	97.95	1,552.07
1810	706	11,481	6.15	7,224	97.73	1,589.31
1811	767	12,003	6.39	7,436	103.18	1,614.19
1812	786	12,482	6.30	7,651	102.75	1,631.42
1813	969	13,192	7.35	7,867	123.21	1,676.92
1814	1,078	13,744	7.84	8,085	133.35	1,699.98
1815	925	13,855	6.68	8,308	111.32	1,667.65
1816	819	13,854	5.91	8,540	95.92	1,622.25
1817	769	14,176	5.42	8,790	87.46	1,612.73
1818	737	14,691	5.02	9,057	81.40	1,622.02
1819	726	14,975	4.85	9,335	77.82	1,604.18
1820	710	15,574	4.56	9,618	73.79	1,619.22
1821	735	16,403	4.48	9,899	74.22	1,656.99
1822	805	17,024	4.73	10,189	79.04	1,670.87
1823	759	17,640	4.30	10,488	72.40	1,681.97
1824	754	18,686	4.03	10,795	69.83	1,731.03
1825	822	19,522	4.21	11,115	73.97	1,756.41
1826	866	20,217	4.28	11,449	75.66	1,765.80
1827	916	20,844	4.39	11,797	77.64	1,766.86
1828	897	21,126	4.24	12,158	73.75	1,737.58
1829	930	21,929	4.24	12,525	74.21	1,750.79
1830	1,022	23,945	4.27	12,901	79.19	1,856.05
1831	1,052	25,922	4.06	13,277	79.25	1,952.39
1832	1,129	27,674	4.08	13,676	82.57	2,023.52
1833	1,158	28,526	4.06	14,086	82.24	2,025.12
1834	1,219	29,006	4.20	14,504	84.04	1,999.84
1835	1,340	30,545	4.39	14,917	89.84	2,047.65
1836	1,479	31,449	4.70	15,340	96.39	2,050.11
1837	1,554	31,737	4.90	15,790	98.40	2,009.95
1838	1,598	33,050	4.83	16,224	98.48	2,037.10
1839	1,661	33,899	4.90	16,656	99.73	2,035.24
1840	1,574	33,992	4.63	17,120	91.91	1,985.49
1841	1,652	34,753	4.75	17,612	93.80	1,973.28
1842	1,618	35,864	4.51	18,124	89.26	1,978.82
1843	1,568	37,641	4.16	18,641	84.09	2,019.28
1844	1,702	39,780	4.28	19,157	88.86	2,076.50
1845	1,859	42,298	4.40	19,708	94.35	2,146.22
1846	2,065	45,735	4.51	20,313	101.64	2,251.54
1847	2,410	48,848	4.93	20,987	114.82	2,327.55
1848	2,427	50,495	4.81	21,706	111.80	2,326.31
1849	2,419	51,197	4.72	22,464	107.66	2,279.05
1850	2,581	53,575	4.82	23,261	110.96	2,303.20
1851	2,724	57,887	4.71	24,095	113.07	2,402.44
1852	3,066	64,572	4.75	24,999	122.66	2,582.97
1853	3,311	69,852	4.74	25,911	127.78	2,695.84
1854	3,713	72,264	5.14	26,856	138.25	2,690.78
1855	3,975	75,277	5.28	27,727	143.36	2,714.95
1856	4,047	78,300	5.17	28,497	142.03	2,747.65
1857	4,180	78,701	5.31	29,298	142.67	2,686.24
1858	4,093	81,886	5.00	30,068	136.12	2,723.35
1859	4,425	87,815	5.04	30,780	143.76	2,852.99
1860	4,387	88,713	4.95	31,513	139.21	2,815.12
1861	4,643	90,293	5.14	32,215	144.13	2,802.83
1862	5,844	101,513	5.76	32,889	177.68	3,086.54
1863	7,698	109,319	7.04	33,607	229.06	3,252.86
1864	9,549	110,559	8.64	34,376	277.77	3,216.16
1865	9,977	113,725	8.77	35,182	283.57	3,232.46
1866	9,081	108,507	8.37	36,052	251.90	3,009.74
1867	8,424	110,368	7.63	36,970	227.86	2,985.35
1868	8,224	114,673	7.17	37,885	217.09	3,026.86
1869	7,921	117,793	6.72	38,870	203.78	3,030.43
1870	7,812	121,309	6.44	39,905	195.76	3,039.95
1871	7,665	127,080	6.03	41,010	186.91	3,098.76
1872	8,309	137,714	6.03	42,066	197.53	3,273.76
1873	8,837	149,462	5.91	43,225	204.44	3,457.76
1874	8,563	152,180	5.63	44,429	192.74	3,425.25
1875	8,239	151,909	5.42	45,492	181.11	3,339.25
1876	8,388	158,198	5.30	46,459	180.55	3,405.10
1877	8,604	166,069	5.18	47,400	181.51	3,503.57
1878	8,460	171,405	4.94	48,319	175.09	3,547.37
1879	9,449	191,383	4.94	49,264	191.81	3,884.85
1880	10,462	207,245	5.05	50,262	208.14	4,123.29
1881	11,740	233,159	5.04	51,466	228.11	4,530.36
1882	12,331	245,533	5.02	52,893	233.14	4,642.06
1883	12,435	252,323	4.93	54,435	228.43	4,635.31
1884	11,896	248,163	4.79	55,826	213.09	4,445.29
1885	11,705	249,022	4.70	57,128	204.88	4,359.02
1886	12,297	269,276	4.57	58,258	211.09	4,622.12
1887	13,273	288,837	4.60	59,357	223.61	4,866.10
1888	14,000	305,444	4.58	60,614	230.97	5,039.17
1889	13,987	314,221	4.45	61,893	225.98	5,076.84
1890	15,223	344,747	4.42	63,056	241.42	5,467.31
1891	15,558	348,823	4.46	64,432	241.47	5,413.82
1892	16,514	366,598	4.50	65,920	250.52	5,561.25
1893	15,566	345,318	4.51	67,470	230.70	5,118.10
1894	14,280	328,952	4.34	68,910	207.23	4,773.64
1895	15,754	366,539	4.30	70,076	224.81	5,230.60
1896	15,643	360,483	4.34	71,188	219.74	5,063.82
1897	16,309	376,021	4.34	72,441	225.14	5,190.72
1898	18,263	417,134	4.38	73,600	248.14	5,667.58
1899	19,694	445,659	4.42	74,793	263.31	5,958.56
1900	20,766	456,861	4.55	76,094	272.90	6,003.90
1901	22,484	481,111	4.67	77,584	289.80	6,201.16
1902	24,294	505,823	4.80	79,163	306.89	6,389.64
1903	26,180	520,584	5.03	80,632	324.69	6,456.30
1904	25,928	502,152	5.16	82,166	315.56	6,111.43
1905	29,066	558,810	5.20	83,822	346.76	6,666.62
1906	31,336	581,661	5.39	85,450	366.72	6,807.03
1907	34,178	596,607	5.73	87,008	392.81	6,856.93
1908	30,423	532,105	5.72	88,710	342.95	5,998.25
1909	32,540	570,565	5.70	90,490	359.60	6,305.29
1910	33,746	576,709	5.85	92,407	365.19	6,240.96
1911	34,675	595,394	5.82	93,863	369.42	6,343.22
1912	37,745	623,289	6.06	95,335	395.92	6,537.88
1913	39,517	647,893	6.10	97,225	406.45	6,663.85
1914	36,831	598,287	6.16	99,111	371.61	6,036.54
1915	39,048	614,598	6.35	100,546	388.36	6,112.61
1916	50,117	699,822	7.16	101,961	491.53	6,863.63
1917	60,278	682,512	8.83	103,414	582.88	6,599.81
1918	76,567	744,069	10.29	104,550	732.35	7,116.87
1919	79,090	750,039	10.54	105,063	752.78	7,138.95
1920	89,246	743,030	12.01	106,461	838.30	6,979.36
1921	74,314	725,995	10.24	108,538	684.68	6,688.86
1922	74,140	766,310	9.67	110,049	673.70	6,963.35
1923	86,238	867,213	9.94	111,947	770.35	7,746.64
1924	87,786	893,916	9.82	114,109	769.32	7,833.88
1925	91,449	914,914	10.00	115,829	789.52	7,898.83
1926	97,885	974,698	10.04	117,397	833.79	8,302.58
1927	96,466	984,111	9.80	119,035	810.40	8,267.41
1928	98,305	995,390	9.88	120,509	815.74	8,259.88
1929	104,600	1,055,600	9.90	121,878	858.24	8,661.12
1930	92,200	965,800	9.52	123,188	748.45	7,840.05
1931	77,400	904,100	8.58	124,149	623.44	7,282.38
1932	59,500	787,500	7.60	124,949	476.19	6,302.57
1933	57,200	777,600	7.40	125,690	455.09	6,186.65
1934	66,800	861,400	7.76	126,485	528.13	6,810.29
1935	74,300	938,200	7.91	127,362	583.38	7,366.40
1936	84,900	1,059,600	8.01	128,181	662.34	8,266.44
1937	93,000	1,113,600	8.30	128,961	721.15	8,635.17
1938	87,400	1,076,700	8.15	129,969	672.47	8,284.28
1939	93,500	1,162,600	8.05	131,028	713.59	8,872.91
1940	102,900	1,265,000	8.12	132,122	778.83	9,574.48
1941	129,400	1,488,900	8.66	133,402	970.00	11,161.00
1942	166,000	1,770,300	9.37	134,860	1,230.91	13,126.95
1943	203,100	2,072,000	9.82	136,739	1,485.31	15,152.96
1944	224,600	2,237,500	10.05	138,397	1,622.87	16,167.26
1945	228,200	2,215,900	10.31	139,928	1,630.84	15,836.00
1946	227,800	1,959,000	11.60	141,389	1,611.16	13,855.39
1947	249,900	1,937,600	12.90	144,126	1,733.90	13,443.79
1948	274,800	2,018,000	13.63	146,631	1,874.09	13,762.44
1949	272,800	2,007,000	13.62	149,188	1,828.57	13,452.82
1950	300,200	2,181,900	13.75	151,684	1,979.11	14,384.51
1951	347,300	2,357,700	14.68	154,287	2,251.00	15,281.26
1952	367,700	2,453,700	15.00	156,954	2,342.72	15,633.24
1953	389,700	2,568,900	15.19	159,565	2,442.26	16,099.40
1954	391,100	2,554,400	15.35	162,391	2,408.38	15,729.94
1955	426,200	2,736,400	15.57	165,275	2,578.73	16,556.65
1956	450,100	2,794,700	16.10	168,221	2,675.65	16,613.26
1957	474,900	2,853,500	16.66	171,274	2,772.75	16,660.44
1958	482,000	2,832,600	17.05	174,141	2,767.87	16,266.13
1959	522,500	3,028,100	17.28	177,130	2,949.81	17,095.35
1960	543,300	3,105,800	17.52	180,760	3,005.64	17,181.90
1961	563,300	3,185,100	17.71	183,742	3,065.71	17,334.63
1962	605,100	3,379,900	17.93	186,590	3,242.94	18,114.05
1963	638,600	3,527,100	18.13	189,300	3,373.48	18,632.33
1964	685,800	3,730,500	18.41	191,927	3,573.23	19,437.08
1965	743,700	3,972,900	18.74	194,347	3,826.66	20,442.30
1966	815,000	4,234,900	19.27	196,599	4,145.49	21,540.80
1967	861,700	4,351,200	19.83	198,752	4,335.55	21,892.61
1968	942,500	4,564,700	20.67	200,745	4,695.01	22,738.80
1969	1,019,900	4,707,900	21.69	202,736	5,030.68	23,221.83
1970	1,075,900	4,717,700	22.84	205,089	5,246.02	23,003.18
1971	1,167,800	4,873,000	24.00	207,692	5,622.75	23,462.63
1972	1,282,400	5,128,800	25.04	209,924	6,108.88	24,431.70
1973	1,428,500	5,418,200	26.40	211,939	6,740.15	25,564.90
1974	1,548,800	5,390,200	28.76	213,898	7,240.83	25,199.86
1975	1,688,900	5,379,500	31.44	215,981	7,819.67	24,907.28
1976	1,877,600	5,669,300	33.16	218,086	8,609.45	25,995.71
1977	2,086,000	5,930,600	35.21	220,289	9,469.38	26,921.91
1978	2,356,600	6,260,400	37.69	222,629	10,585.32	28,120.33
1979	2,632,100	6,459,200	40.80	225,106	11,692.71	28,694.04
1980	2,862,500	6,443,400	44.49	227,726	12,569.93	28,294.53
1981	3,210,900	6,610,600	48.66	230,008	13,959.95	28,740.74
1982	3,345,000	6,484,300	51.63	232,218	14,404.57	27,923.33
1983	3,638,100	6,784,700	53.66	234,333	15,525.34	28,953.24
1984	4,040,700	7,277,200	55.57	236,394	17,093.07	30,784.20
1985	4,346,700	7,585,700	57.35	238,506	18,224.70	31,805.07
1986	4,590,100	7,852,100	58.51	240,683	19,071.14	32,624.24
1987	4,870,200	8,123,900	59.94	242,843	20,054.93	33,453.30
1988	5,252,600	8,465,400	62.04	245,061	21,433.85	34,544.05
1989	5,657,700	8,777,000	64.46	247,387	22,869.84	35,478.82
1990	5,979,600	8,945,400	66.85	250,181	23,901.10	35,755.71
1991	6,174,000	8,938,900	69.06	253,530	24,352.15	35,257.76
1992	6,539,300	9,256,700	70.64	256,922	25,452.47	36,029.22
1993	6,878,700	9,510,800	72.32	260,282	26,427.87	36,540.37
1994	7,308,700	9,894,700	73.86	263,455	27,741.74	37,557.46
1995	7,664,000	10,163,700	75.40	266,588	28,748.48	38,125.12
1996	8,100,200	10,549,500	76.78	269,714	30,032.55	39,113.65
1997	8,608,500	11,022,900	78.10	272,958	31,537.82	40,383.14
1998	9,089,100	11,513,400	78.94	276,154	32,913.16	41,691.95
1999	9,665,700	12,071,400	80.07	279,328	34,603.41	43,215.86
2000	10,289,700	12,565,200	81.89	282,398	36,436.87	44,494.65
2001	10,625,300	12,684,400	83.77	285,225	37,252.34	44,471.56
2002	10,980,200	12,909,700	85.06	287,955	38,131.65	44,832.35
2003	11,512,200	13,270,000	86.75	290,626	39,611.73	45,660.06
2004	12,277,000	13,774,000	89.13	293,262	41,863.59	46,968.24
2005	13,095,400	14,235,600	91.99	295,993	44,242.26	48,094.38
2006	13,857,900	14,615,200	94.82	298,818	46,375.72	48,910.04
2007	14,480,300	14,876,800	97.34	301,696	47,996.33	49,310.56
2008	14,720,300	14,833,600	99.21	304,543	48,335.70	48,707.74
2009	14,417,900	14,417,900	100.00	307,240	46,927.16	46,927.16
2010	14,958,300	14,779,400	101.22	309,776	48,287.47	47,709.96
2011	15,533,800	15,052,400	103.20	312,036	49,782.08	48,239.31
2012	16,244,600	15,470,700	105.01	314,278	51,688.63	49,226.16
